1,2020-10-06 20:00:00 +0000 UTC,exampleUser721,33012.79,EUR
4,2019-09-22 10:00:00 +0000 UTC,exampleUser294,67079.3,UAH
3,2020-03-28 16:00:00 +0000 UTC,exampleUser54,83098.99,EUR
4,2019-08-10 19:00:00 +0000 UTC,exampleUser911,2021.98,USD
3,2019-10-28 20:00:00 +0000 UTC,exampleUser316,97082.91,USD
3,2020-02-10 08:00:00 +0000 UTC,exampleUser895,88625.86,UAH
5,2019-07-28 14:00:00 +0000 UTC,exampleUser592,47481.96,USD
4,2019-05-17 11:00:00 +0000 UTC,exampleUser465,87603.31,EUR
3,2020-02-24 11:00:00 +0000 UTC,exampleUser763,27283.59,USD
3,2020-07-02 21:00:00 +0000 UTC,exampleUser11,93844.41,USD
4,2020-02-02 18:00:00 +0000 UTC,exampleUser388,5745.25,USD
4,2019-01-27 21:00:00 +0000 UTC,exampleUser947,37362.75,USD
4,2019-07-05 05:00:00 +0000 UTC,exampleUser504,47319.95,USD
4,2020-03-09 08:00:00 +0000 UTC,exampleUser100,35980.97,USD
4,2020-02-08 13:00:00 +0000 UTC,exampleUser443,21177.77,UAH
4,2019-02-03 07:00:00 +0000 UTC,exampleUser478,18051.21,EUR
4,2019-05-11 18:00:00 +0000 UTC,exampleUser892,17842.14,EUR
4,2019-10-13 11:00:00 +0000 UTC,exampleUser171,41934.41,EUR
4,2020-03-26 03:00:00 +0000 UTC,exampleUser508,91300.71,EUR
4,2018-08-10 06:00:00 +0000 UTC,exampleUser571,28065.62,USD
2,2019-10-17 16:00:00 +0000 UTC,exampleUser131,12072.05,USD
3,2020-09-08 16:00:00 +0000 UTC,exampleUser785,50021.01,USD
4,2019-11-17 02:00:00 +0000 UTC,exampleUser559,36241.9,EUR
4,2019-06-29 12:00:00 +0000 UTC,exampleUser729,28821.61,USD
4,2019-03-12 12:00:00 +0000 UTC,exampleUser729,29247.47,EUR
3,2019-04-08 18:00:00 +0000 UTC,exampleUser637,14293.74,USD
4,2019-07-04 13:00:00 +0000 UTC,exampleUser966,29184.56,USD
4,2020-02-24 08:00:00 +0000 UTC,exampleUser886,15553.12,EUR
4,2019-06-14 23:00:00 +0000 UTC,exampleUser33,40318.35,USD
4,2019-09-01 23:00:00 +0000 UTC,exampleUser876,56043.49,USD
2,2019-11-22 02:00:00 +0000 UTC,exampleUser69,84785.36,USD
7,2018-03-11 10:00:00 +0000 UTC,exampleUser486,73079.47,USD
4,2019-09-25 11:00:00 +0000 UTC,exampleUser587,62063.13,USD
1,2019-08-25 03:00:00 +0000 UTC,exampleUser224,16640.43,EUR
1,2020-10-15 08:00:00 +0000 UTC,exampleUser686,26587.23,USD
6,2019-10-14 06:00:00 +0000 UTC,exampleUser53,81217.05,USD
6,2019-04-08 07:00:00 +0000 UTC,exampleUser41,99623.57,USD
4,2019-01-14 13:00:00 +0000 UTC,exampleUser16,88964.53,USD
5,2020-06-15 23:00:00 +0000 UTC,exampleUser153,97882.6,USD
3,2019-05-22 03:00:00 +0000 UTC,exampleUser304,16070.45,USD
1,2020-10-14 00:00:00 +0000 UTC,exampleUser361,67196.71,USD
1,2019-10-11 06:00:00 +0000 UTC,exampleUser116,40824.03,USD
1,2019-01-13 04:00:00 +0000 UTC,exampleUser444,65257.36,USD
1,2019-09-03 11:00:00 +0000 UTC,exampleUser828,31470.14,USD
1,2018-11-28 16:00:00 +0000 UTC,exampleUser184,14419.41,USD
1,2019-11-22 18:00:00 +0000 UTC,exampleUser757,58415.13,USD
1,2019-10-01 13:00:00 +0000 UTC,exampleUser773,5420.77,USD
